Reviewer Email	Left	Operator	Right
reviewer1@xxx.com	1	Comparable	2
reviewer3@xxx.com	1	PreferredOver	2
reviewer4@xxx.com	1	Comparable	5

reviewer1@xxx.com	2	PreferredOver	5
reviewer2@xxx.com	2	PreferredOver	4
reviewer3@xxx.com	2	Comparable	5
reviewer4@xxx.com	2	PreferredOver	1

reviewer1@xxx.com	3	PreferredOver	6
reviewer2@xxx.com	3	Comparable	2
reviewer3@xxx.com	3	PreferredOver	6

reviewer1@xxx.com	4	PreferredOver	3
reviewer2@xxx.com	4	PreferredOver	6
reviewer3@xxx.com	4	PreferredOver	1


reviewer1@xxx.com	5	PreferredOver	4
reviewer4@xxx.com	5	PreferredOver	3

reviewer2@xxx.com	6	PreferredOver	1
reviewer3@xxx.com	6	PreferredOver	4
reviewer4@xxx.com	6	PreferredOver	2
